x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,type
-43,5,-120,160,-68,-126,84,-106,-112,251,-134,-153,200,-1,-192,jumping
-40,5,-104,25,11,-126,32,2,-120,251,-88,-182,251,2,-262,jumping
-36,15,-121,16,2,-123,26,11,-147,251,-130,-115,251,-30,-186,jumping
45,-8,-124,2,2,-120,12,5,-135,251,-98,-189,251,-93,-187,jumping
43,-9,-136,-25,4,-124,2,0,-99,192,-46,-137,251,-107,-147,jumping
110,6,-165,-27,-5,-111,7,3,-120,133,-19,-150,251,-127,-147,jumping
156,-8,-163,-38,3,-120,27,0,-127,64,-9,-148,251,-139,-152,jumping
238,-8,-150,-39,0,-118,29,0,-119,37,5,-141,251,-98,-113,jumping
246,-40,-168,-29,5,-102,22,-2,-110,17,1,-132,251,-88,-190,jumping
251,-35,-145,-29,13,-96,32,23,-176,-8,-1,-118,251,-79,-195,jumping
251,-59,-120,-28,-9,-97,2,6,-158,25,19,-130,251,-94,-171,jumping
251,-53,-209,-56,-23,-119,29,-5,-117,28,-3,-140,251,-72,-174,jumping
251,-84,-130,-24,-15,-106,0,-4,-145,30,6,-115,251,-104,-151,jumping
251,-62,-131,1,-8,-106,-24,-8,-124,17,-6,-123,163,-55,-173,jumping
251,-133,-135,26,-17,-91,-37,-22,-103,9,0,-135,128,-36,-135,jumping
251,-98,-72,102,-27,-242,-24,-12,-114,17,-5,-101,117,0,-120,jumping
251,-107,-156,97,-18,-192,-32,-18,-106,16,9,-127,128,-16,-116,jumping
251,-126,-170,33,-61,-187,-3,-26,-110,40,-4,-92,111,-74,-101,jumping
251,-98,-142,78,-41,-59,-45,-41,-86,16,-34,-100,250,-104,-176,jumping
251,-148,-136,9,10,-114,-14,6,-103,1,5,-119,251,-150,-171,jumping
251,-144,-200,127,-13,-192,-34,11,-117,55,14,-121,49,2,-143,jumping
251,-149,-152,18,-21,-171,-36,6,-112,15,11,-133,50,-3,-133,jumping
41,3,-138,251,-100,-169,116,-3,-142,-35,10,-108,28,0,-113,jumping
9,0,-115,251,-139,-220,251,-27,-132,-42,13,-129,1,-3,-139,jumping
9,4,-118,251,-56,-258,251,-21,-179,-30,5,-102,-1,0,-137,jumping
39,10,-127,201,-108,-168,251,-169,-177,68,3,-158,-17,22,-147,jumping
38,15,-121,16,-44,-117,251,-168,-146,165,1,-195,-16,37,-176,jumping
42,18,-155,25,0,-133,227,-238,-100,251,-74,-158,-19,24,-150,jumping
-3,32,-140,37,1,-126,34,-2,-125,251,-176,-178,219,-53,-233,jumping
30,19,-143,17,0,-134,6,-1,-137,236,-127,-176,251,-96,-158,jumping
62,20,-167,-11,6,-115,7,4,-124,203,-81,-166,251,-86,-248,jumping
-11,12,-136,-19,10,-115,18,-2,-134,251,-89,-138,251,-120,-146,jumping
251,-56,-140,-12,18,-100,8,0,-144,21,-6,-143,251,-111,-229,jumping
198,-76,-186,251,-108,-148,-57,12,-123,-34,-7,-116,6,-5,-121,jumping
99,-19,-155,251,-122,-236,41,3,-128,-28,-4,-104,0,0,-112,jumping
