x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,type
-13,-4,-129,-248,244,-118,-65,28,-162,-18,-10,-122,-2,-8,-112,jumping
-2,-21,-120,-248,244,-118,-196,244,-180,34,-27,-148,-5,20,-90,jumping
13,-13,-127,-80,44,-134,-248,244,-174,-18,-21,-149,-21,29,-99,jumping
-23,-9,-86,-17,2,-117,-205,244,-122,-190,244,-165,37,-57,-168,jumping
-6,-5,-138,-233,244,28,-11,6,-153,4,-37,-114,-1,4,-119,jumping
3,-18,-124,-182,244,-81,-135,244,-79,35,-85,-187,-17,16,-79,jumping
-197,244,-89,-79,16,-115,10,-12,-107,15,5,-122,-15,-6,-135,jumping
-28,3,-126,-248,244,2,10,-68,-142,19,45,-108,8,-16,-126,jumping
9,-12,-123,-248,244,-98,-162,229,-111,41,-44,-154,-5,-1,-98,jumping
3,-11,-138,-80,37,-97,-248,244,-98,-71,68,-139,-4,36,-139,jumping
-2,25,-89,-22,1,-117,-89,221,-161,-231,244,-130,-24,-82,-153,jumping
14,-127,-174,-23,-17,-125,-11,10,-131,-153,244,-141,-150,244,-105,jumping
-87,244,-122,-14,41,-86,-11,-20,-128,-32,17,-131,-234,244,-106,jumping
-248,244,-194,44,-81,-155,5,35,-85,-13,-12,-119,-106,83,-153,jumping
-225,244,-140,35,-18,-154,7,-18,-94,21,20,-109,-22,-19,-127,jumping
-43,27,-124,-240,244,-114,36,-56,-152,4,19,-107,4,-19,-116,jumping
-18,-11,-130,-248,244,-103,-86,88,-128,16,-20,-128,2,0,-113,jumping
-24,-36,-107,-150,203,-173,-248,244,-135,37,-57,-178,-34,38,-79,jumping
4,18,-101,-4,40,-150,-187,244,-172,-82,181,-145,-2,-103,-126,jumping
10,-70,-158,2,16,-118,-40,13,-132,-208,244,-92,-169,243,-39,jumping
-14,-49,-161,-1,24,-77,-8,-27,-126,-100,196,-105,-216,244,18,jumping
-123,205,-62,-19,32,-100,4,-9,-146,-44,46,-102,-167,244,-33,jumping
-22,-23,-102,-181,244,-13,-174,244,-94,-12,-52,-148,-4,-7,-113,jumping
8,5,-104,-111,89,-131,-228,244,-69,-65,70,-97,2,-36,-137,jumping
8,4,-104,-16,13,-129,-248,244,-55,-153,241,-97,38,-57,-137,jumping
18,28,-110,11,-10,-135,-100,74,-107,-216,244,-55,-26,-28,-137,jumping
0,-23,-98,7,1,-135,-34,12,-130,-248,244,-32,-70,140,-77,jumping
-100,165,-82,-31,14,-97,4,-14,-154,-30,33,-143,-183,244,-80,jumping
-169,244,-39,-18,-22,-104,-6,-5,-122,-23,15,-139,-144,199,-107,jumping
-206,244,22,2,-77,-147,-8,18,-101,-19,3,-142,-69,60,-127,jumping
-162,244,-95,-65,55,-133,-22,15,-112,-5,2,-118,-4,21,-131,jumping
-147,168,-91,-80,244,-118,-12,-66,-129,8,9,-117,-15,-9,-128,jumping
-71,63,-110,-219,244,-86,17,-25,-186,-34,14,-101,6,-20,-142,jumping
-64,-30,-117,-208,244,-26,-69,152,-110,17,-47,-142,15,37,-139,jumping
8,13,-141,-248,202,-54,-203,244,-76,40,-48,-174,-24,0,-99,jumping
-4,-7,-143,-92,54,-111,-248,244,131,-36,1,-160,10,58,-146,jumping
-18,3,-119,-25,12,-120,-238,244,68,-151,145,-20,33,-51,-176,jumping
-1,12,-101,-37,-7,-121,-248,244,-75,-159,229,-32,31,-54,-141,jumping
-4,0,-83,-8,-2,-134,-202,211,-78,-248,244,-10,41,-35,-198,jumping
14,-23,-134,-12,-25,-116,-66,55,-128,-248,244,6,-76,20,-119,jumping
