mean_z,APF_x, APF_y, APF_z,VarAPF,STD_x, STD_y, STD_z,RMS_x, RMS_y, RMS_z,Corr_z_y,MinMax_x, MinMax_y, MinMax_z,type
-40.9,1,0,0,0.33333333333333337,36.487440761628285,10.99696927945756,40.062312575397954,1283.6,110.6,1558.65,0.9769295262909785,89,28,99,stillness
-40.9,1,0,0,0.33333333333333337,36.487440761628285,10.99696927945756,40.062312575397954,1283.6,110.6,1558.65,0.9769295262909785,89,28,99,stillness
-14.4,1,4,3,2.3333333333333335,6.275171533733383,3.1340424729448424,9.106774035482232,85.0,5.4,141.0,0.09888303068965884,19,9,28,stillness
-14.4,1,4,3,2.3333333333333335,6.275171533733383,3.1340424729448424,9.106774035482232,85.0,5.4,141.0,0.09888303068965884,19,9,28,stillness
-3.6,1,3,2,1,4.491968140779471,2.1628170930011112,4.477102237434884,10.7,2.35,15.5,-0.5943885642615262,15,7,12,stillness
-3.6,1,3,2,1,4.491968140779471,2.1628170930011112,4.477102237434884,10.7,2.35,15.5,-0.5943885642615262,15,7,12,stillness
-0.4,1,3,1,1.3333333333333333,2.4129281427805145,2.2705848487901865,5.699902533279748,2.7,2.4,14.7,-0.8276169172879542,8,8,20,stillness
-0.4,1,3,1,1.3333333333333333,2.4129281427805145,2.2705848487901865,5.699902533279748,2.7,2.4,14.7,-0.8276169172879542,8,8,20,stillness
1.1,1,1,3,1.3333333333333333,2.5582111805799856,1.6193277068654826,1.9692073983655907,2.95,1.2,2.35,-0.6341655894576114,7,5,6,stillness
-2.5,1,1,2,0.3333333333333333,5.586690532964137,5.065131346328104,7.3673453684334484,15.85,11.55,27.55,-0.4481178560013839,17,14,22,stillness
-2.5,1,1,2,0.3333333333333333,5.586690532964137,5.065131346328104,7.3673453684334484,15.85,11.55,27.55,-0.4481178560013839,17,14,22,stillness
1.7,3,2,1,1,4.164666186436128,4.948624949305502,3.4657049948186747,8.65,13.9,6.85,-0.9251444874157231,15,16,11,stillness
1.7,3,2,1,1,4.164666186436128,4.948624949305502,3.4657049948186747,8.65,13.9,6.85,-0.9251444874157231,15,16,11,stillness
0.4,2,2,1,0.3333333333333333,3.5023801430836525,1.776388345929897,3.9496835316262997,5.6,1.5,7.1,-0.6429590441158884,11,6,14,stillness
-0.4,2,2,1,0.3333333333333333,2.3309511649396115,1.7029386365926402,4.115013163202924,2.45,2.15,7.7,-0.019026920732298606,7,5,13,stillness
1.4,3,3,3,0,4.993328882953068,3.956710193526379,5.015531433014408,11.4,7.65,12.3,-0.5352592539920189,18,13,15,stillness
1.4,3,3,3,0,4.993328882953068,3.956710193526379,5.015531433014408,11.4,7.65,12.3,-0.5352592539920189,18,13,15,stillness
2.2,3,2,4,1,1.4337208778404378,2.8382310609877335,4.391911757866827,2.05,3.75,11.1,-0.17827322948459207,4,8,15,stillness
3.1,3,2,3,0.3333333333333333,1.7669811040931427,2.3570226039551585,3.6040101122068027,2.25,2.5,10.65,0.20927999916288004,5,7,11,stillness
1.1,2,2,2,0,3.40587727318528,2.8848262031225076,3.8137179293236207,6.5,7.95,7.15,-0.5645482633323495,12,7,15,stillness
1.7,2,1,2,0.3333333333333333,2.4698178070456938,1.577621275493231,2.94580681270476,3.15,2.4,5.35,-0.5307664319684832,10,5,10,stillness
2,2,1,1,0.3333333333333333,2.4698178070456938,1.5670212364724212,2.6666666666666665,3.15,1.95,5.2,-0.39884590294829725,10,5,10,stillness
0.4,2,2,2,0,1.8856180831641267,0.8755950357709131,1.577621275493231,1.6,0.35,1.2,-0.032174472604389284,5,3,5,stillness
0.6,2,2,1,0.3333333333333333,1.837873166945363,0.8755950357709131,1.776388345929897,1.6,0.35,1.6,-0.04286151670446324,5,3,6,stillness
-0.5,1,2,1,0.3333333333333333,1.286683937707919,0.8232726023485646,1.90029237516523,0.75,0.55,1.75,-0.4616435357484828,4,2,6,stillness
-0.5,1,1,1,0,0.9660917830792959,0.8232726023485646,0.8498365855987975,0.6,0.55,0.45,-0.0794051021005355,3,2,2,stillness
0.2,1,1,1,0,0.7378647873726218,0.8755950357709131,1.1352924243950933,0.25,0.35,0.6,-0.5365222008118751,2,3,4,stillness
1,3,2,3,0.3333333333333333,8.300602387778852,8.181958472422385,7.46845216746936,31.25,85.25,25.6,-0.7636931693732205,28,25,27,stillness
-0.9,3,2,4,1,6.018490028422596,7.02456008903365,3.984692933938295,16.8,56.65,7.55,-0.5704272539923756,20,23,15,stillness
-0.3,1,0,0,0.33333333333333337,0.31622776601683794,0.6749485577105528,0.48304589153964794,0.05,0.25,0.15,0.03407990882954984,1,2,1,stillness
-0.3,1,0,0,0.33333333333333337,0.31622776601683794,0.6749485577105528,0.48304589153964794,0.05,0.25,0.15,0.03407990882954984,1,2,1,stillness
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,stillness
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,stillness
