mean_z,APF_x, APF_y, APF_z,VarAPF,STD_x, STD_y, STD_z,RMS_x, RMS_y, RMS_z,Corr_z_y,MinMax_x, MinMax_y, MinMax_z,type
-0.7,3,3,2,0.3333333333333333,5.926400443964466,3.3333333333333335,8.000694414306242,15.85,7.0,29.05,-0.3416370119630855,18,10,31,walking
-0.7,3,3,2,0.3333333333333333,5.926400443964466,3.3333333333333335,8.000694414306242,15.85,7.0,29.05,-0.3416370119630855,18,10,31,walking
4.4,1,3,3,1.3333333333333333,17.12827422064984,5.6460408940936455,4.788875998951459,159.4,14.35,20.0,-0.2276615268162305,53,19,13,walking
4.4,1,3,3,1.3333333333333333,17.12827422064984,5.6460408940936455,4.788875998951459,159.4,14.35,20.0,-0.2276615268162305,53,19,13,walking
5.8,1,2,2,0.3333333333333333,27.703990887796493,13.057139383834764,8.612652191849952,393.4,76.8,50.2,0.342057883850397,81,49,30,walking
5.8,1,2,2,0.3333333333333333,27.703990887796493,13.057139383834764,8.612652191849952,393.4,76.8,50.2,0.342057883850397,81,49,30,walking
4.3,2,1,2,0.3333333333333333,12.771931029496761,20.74849392124643,12.220656465364062,78.85,194.85,76.45,-0.33062494790571184,45,69,40,walking
0.8,1,1,2,0.3333333333333333,23.334285694850163,26.145107891662384,7.842901957254796,248.4,334.25,28.0,0.06968370520184115,66,83,26,walking
-1.7,1,1,1,0,14.142528455375691,19.744197459844585,15.549562337535063,96.85,185.55,110.25,0.051572086145680665,43,76,47,walking
-1.1,1,2,2,0.3333333333333333,34.99349145833328,23.243637122160262,10.999494937900053,555.85,243.2,55.05,-0.18191976391066045,112,75,39,walking
-1.1,1,2,2,0.3333333333333333,34.99349145833328,23.243637122160262,10.999494937900053,555.85,243.2,55.05,-0.18191976391066045,112,75,39,walking
-1.1,2,2,2,0,28.456594627217395,14.634813896246778,10.999494937900053,414.4,115.6,55.05,-0.24489569650815582,110,41,39,walking
-1.2,2,1,3,1,16.015270490656373,26.054643433454324,10.972693379476162,121.2,307.1,54.9,-0.07057891166547213,44,96,34,walking
-1.2,2,1,3,1,16.015270490656373,26.054643433454324,10.972693379476162,121.2,307.1,54.9,-0.07057891166547213,44,96,34,walking
-0.8,1,1,2,0.3333333333333333,23.31523107327054,13.912823820729804,8.283853102404835,250.4,87.95,31.2,0.430554898553521,72,39,34,walking
-0.8,1,1,2,0.3333333333333333,23.31523107327054,13.912823820729804,8.283853102404835,250.4,87.95,31.2,0.430554898553521,72,39,34,walking
0.4,2,1,2,0.3333333333333333,13.786063816606811,14.074800176201437,14.96811425813033,88.65,107.75,100.9,-0.11370954445087858,44,45,42,walking
0.4,2,1,2,0.3333333333333333,13.786063816606811,14.074800176201437,14.96811425813033,88.65,107.75,100.9,-0.11370954445087858,44,45,42,walking
2.3,2,1,2,0.3333333333333333,14.339146108158292,13.316656236958787,14.11893921101881,93.65,87.8,92.35,-0.24997731601634404,44,45,42,walking
7.5,2,2,2,0,4.376706016578627,9.44281031614353,10.752260744192874,36.0,95.25,80.15,-0.36058848685199907,12,29,36,walking
7.5,2,2,2,0,4.376706016578627,9.44281031614353,10.752260744192874,36.0,95.25,80.15,-0.36058848685199907,12,29,36,walking
-8.3,2,1,3,1,23.743069164144163,16.669666396715257,7.674633541739957,292.4,138.05,60.95,0.3876143273437306,80,51,24,walking
-8.3,2,1,3,1,23.743069164144163,16.669666396715257,7.674633541739957,292.4,138.05,60.95,0.3876143273437306,80,51,24,walking
4.3,1,1,2,0.3333333333333333,30.523033197170225,12.194716524426106,8.219894565422763,452.05,87.4,39.65,0.617633213122251,80,38,32,walking
1.8,1,1,1,0,13.671137480107499,16.513967152417106,10.019980039900279,85.55,159.7,46.8,0.29693265122093826,40,53,27,walking
1.8,1,1,1,0,13.671137480107499,16.513967152417106,10.019980039900279,85.55,159.7,46.8,0.29693265122093826,40,53,27,walking
0.9,1,2,2,0.3333333333333333,29.997036890703423,16.196364475468627,8.875058685251984,411.4,126.45,35.85,-0.417486938813879,92,43,32,walking
-7.1,1,1,1,0,18.65594930429552,20.559128818551088,13.067772062087196,159.5,190.45,102.05,0.3946718542405144,49,70,51,walking
-4.9,1,1,1,0,17.827569161897035,20.53966352640125,14.317433041187547,163.5,190.45,104.25,0.3574670756499627,47,70,51,walking
2.7,1,1,1,0,23.37163523019588,16.1455188141409,6.992853494818835,265.65,117.55,25.65,-0.02548888395410271,71,49,21,walking
2.7,1,1,1,0,23.37163523019588,16.1455188141409,6.992853494818835,265.65,117.55,25.65,-0.02548888395410271,71,49,21,walking
-1.3,1,1,2,0.3333333333333333,15.611961226358888,16.719914938645935,4.522781838156198,161.7,126.3,10.05,0.09844475671805762,60,50,16,walking
0.7,1,2,2,0.3333333333333333,9.48741856940607,9.264028401414917,5.4984846397287805,40.75,39.9,13.85,0.1269514253260583,31,29,17,walking
0.7,1,2,2,0.3333333333333333,9.48741856940607,9.264028401414917,5.4984846397287805,40.75,39.9,13.85,0.1269514253260583,31,29,17,walking
0.8,0,2,2,1.3333333333333333,9.741663102366044,9.057838839615355,5.553777493242275,42.75,37.9,14.2,0.12192239994764434,31,29,17,walking
3.7,1,2,1,0.3333333333333333,6.367451958550173,6.928203230275509,13.944732179412968,18.85,22.1,94.35,-0.6681943923008862,19,19,46,walking
-2.2,1,2,2,0.3333333333333333,24.997777679003566,10.762073323585108,12.505998560690786,299.2,98.2,72.8,0.2202566323952258,75,33,38,walking
-1.2,1,2,2,0.3333333333333333,17.83909564224973,22.42047675179495,12.181953866272849,143.25,260.65,67.5,0.010414433762860897,59,61,40,walking
0.5,2,2,1,0.3333333333333333,13.216572088774676,21.56746520932758,13.761863568895343,85.45,253.5,85.35,-0.04342492985319433,40,61,40,walking
3.3,2,1,1,0.3333333333333333,33.916400490356025,19.28038727135255,15.986452597955141,517.65,171.2,120.45,0.32350105287432457,100,73,46,walking
3.3,2,1,1,0.3333333333333333,33.916400490356025,19.28038727135255,15.986452597955141,517.65,171.2,120.45,0.32350105287432457,100,73,46,walking
-2.3,1,1,1,0,46.85912694212065,32.244896236975755,13.41682194527121,1006.1,468.2,83.65,0.08567870476816274,117,101,45,walking
