mean_z,APF_x, APF_y, APF_z,VarAPF,STD_x, STD_y, STD_z,RMS_x, RMS_y, RMS_z,Corr_z_y,MinMax_x, MinMax_y, MinMax_z,type
-2.8,3,2,3,0.3333333333333333,27.212946265416477,12.294533563968809,12.163698268025048,618.85,730.5,70.5,0.22051782064180375,85,37,41,jumping
-20.5,2,1,2,0.3333333333333333,58.443610048965624,55.190981549927564,17.614703454153798,1569.85,1562.8,349.75,0.6187743290581514,171,179,63,jumping
-20.5,2,1,2,0.3333333333333333,58.443610048965624,55.190981549927564,17.614703454153798,1569.85,1562.8,349.75,0.6187743290581514,171,179,63,jumping
-0.5,1,0,2,1,112.80706242666429,87.0798484151184,16.283938917432312,5728.65,3417.75,119.45,0.15197429783543887,318,232,51,jumping
-8.5,1,1,3,1.3333333333333333,112.01706219242773,82.12625781211648,26.796558651355877,5653.0,3050.25,359.25,0.31694445237600055,300,228,78,jumping
-12.4,1,1,4,3,105.86070512181982,80.4708366773675,24.258789930433235,5089.0,2922.0,341.7,0.16528995142296055,300,228,74,jumping
-6.8,1,1,2,0.3333333333333333,118.09228970973884,64.72540287845088,30.128613199636874,6282.45,1900.9,431.6,0.8061636168911095,335,184,89,jumping
1.6,1,2,2,0.3333333333333333,111.09175386939292,61.104646122678574,43.76756790135819,5557.0,1682.2,863.3,0.8741311133588361,322,182,136,jumping
1.6,1,2,2,0.3333333333333333,111.09175386939292,61.104646122678574,43.76756790135819,5557.0,1682.2,863.3,0.8741311133588361,322,182,136,jumping
0.1,1,2,2,0.3333333333333333,120.8626860899959,55.900805003148214,44.200175967472745,6584.55,1406.25,879.15,0.8653293601080854,347,156,130,jumping
0.1,1,2,2,0.3333333333333333,120.8626860899959,55.900805003148214,44.200175967472745,6584.55,1406.25,879.15,0.8653293601080854,347,156,130,jumping
0.6,1,2,2,0.3333333333333333,117.87851561859966,54.12085241999304,40.70271626207655,6255.55,1329.6,745.7,0.8845145061471009,354,172,122,jumping
1.2,1,2,3,1,122.61774386731763,47.41835087811469,34.825916275734144,6783.8,1017.95,546.5,0.6914051157580815,344,134,108,jumping
3,0,1,2,1,119.05255608810384,53.91979640581411,36.40512784393612,6404.0,1309.75,600.9,0.6755114579505703,320,170,111,jumping
2,0,1,2,1,121.01349786972801,57.103804115351586,37.44329045369811,6605.6,1469.0,632.9,0.7065283595583827,320,170,111,jumping
4.2,0,1,2,1,117.38961718236507,44.168364747231074,40.40572016710286,6242.55,947.5,743.5,0.7961951541260505,336,120,121,jumping
3.9,0,1,2,1,120.38364599156408,50.16960124307237,40.755231429705916,6546.0,1172.25,755.05,0.7763205517470922,336,147,121,jumping
2.9,0,2,2,1.3333333333333333,113.41683198616411,39.74026785124742,29.114524821050328,5817.4,715.8,385.65,0.7508951788380722,288,132,80,jumping
3,0,2,2,1.3333333333333333,116.04788283769382,37.89591006955764,28.95206766747795,6078.2,653.85,381.7,0.7524443371602404,304,125,79,jumping
3.3,0,2,3,2.3333333333333335,116.49248902826311,35.384397063614855,22.978492359402324,6127.85,563.55,243.05,0.838444114252753,319,120,79,jumping
0.9,0,1,2,1,120.48439271909407,58.543905651134075,31.757588769370454,6533.7,1543.45,454.25,0.8075996528478139,356,171,94,jumping
1.7,0,2,3,2.3333333333333335,118.57131000185312,47.29388027124768,25.201631340495048,6341.2,1007.8,287.25,0.5610916439634037,321,137,70,jumping
-1,1,1,3,1.3333333333333333,119.06025551981838,48.884103301130075,25.703436864876,6378.95,1075.95,297.8,0.7418375868924917,342,137,92,jumping
0.4,1,1,3,1.3333333333333333,117.6178368937108,47.962485340107214,24.2267070262001,6227.7,1036.8,264.2,0.7179168037019537,342,137,92,jumping
-0.6,1,1,2,0.3333333333333333,120.77913727130195,42.24123840777188,30.203752526245257,6564.5,811.35,410.7,0.6872488197628301,333,114,91,jumping
2.5,1,1,2,0.3333333333333333,119.57614961001026,42.53103442063088,29.923049458383897,6450.55,818.5,406.05,0.7138164915472608,333,114,91,jumping
0.2,1,1,1,0,120.53699293854424,38.535553569254574,39.588999594444026,6538.25,668.65,705.3,0.9426044114494722,328,119,112,jumping
0.2,1,1,1,0,120.53699293854424,38.535553569254574,39.588999594444026,6538.25,668.65,705.3,0.9426044114494722,328,119,112,jumping
1.3,1,1,1,0,120.74514022886756,32.47580295816837,53.557964445594415,6566.85,474.85,1291.65,0.963770307111043,328,99,160,jumping
1.3,1,1,1,0,120.74514022886756,32.47580295816837,53.557964445594415,6566.85,474.85,1291.65,0.963770307111043,328,99,160,jumping
-1,1,2,3,1,123.213635609051,52.272363635098806,34.49637662132068,6835.1,1232.0,536.0,0.4474127007426254,335,133,118,jumping
-1,1,2,3,1,123.213635609051,52.272363635098806,34.49637662132068,6835.1,1232.0,536.0,0.4474127007426254,335,133,118,jumping
-4.4,1,1,2,0.3333333333333333,118.81643171062008,59.998981472836505,31.693672694859597,6399.85,1622.15,461.7,0.8018210403757953,338,177,108,jumping
-4.4,1,1,2,0.3333333333333333,118.81643171062008,59.998981472836505,31.693672694859597,6399.85,1622.15,461.7,0.8018210403757953,338,177,108,jumping
0.3,1,2,4,2.3333333333333335,123.59072241340232,66.56692538757935,37.85953571353516,6898.1,2009.7,645.05,0.7991804506864864,364,196,116,jumping
-1.2,1,2,4,2.3333333333333335,126.75825636050519,66.68533072073147,37.01591249419333,7238.85,2015.7,617.3,0.7936796127586444,364,196,116,jumping
-11.7,1,1,2,0.3333333333333333,103.91561747666015,48.82121578894888,28.844602807303676,5231.95,1072.9,442.85,0.5282917611366323,307,170,84,jumping
